#[AFISE]Type,ObjectType,[EntityType]KindID,DomainID,CountryID,CategoryID,SubCategoryID,SpecificID,ExtraID,Mil-2525,Range
F7P,1,1,2,165,1,3,1,0,FIGHTER,12
F7PG,1,1,2,165,1,3,2,0,FIGHTER,20
MirageIII,1,1,2,165,1,4,1,0,FIGHTER,0
MirageIIIRose,1,1,2,165,1,4,4,0,FIGHTER,24
MirageV,1,1,2,165,1,5,4,0,FIGHTER,0
F16,1,1,2,165,1,1,1,0,FIGHTER,0
F16A,1,1,2,165,1,1,2,0,FIGHTER,60
F16C,1,1,2,165,1,1,3,0,FIGHTER,60
JF17_B1,1,1,2,165,1,2,1,0,FIGHTER,55
SSS,1,1,2,165,8,1,0,0,MILITARY_AEW,15
KE03,1,1,2,165,8,2,0,0,MILITARY_AEW,0
C130,1,1,2,165,4,1,0,0,MILITARY_CARGO_TANKER,0
CASA_CN235,1,1,2,165,4,2,0,0,MILITARY_CARGO_TANKER,0
IL78,1,1,2,165,4,3,0,0,MILITARY_CARGO_TANKER,0
Falcon20,1,1,2,165,6,1,0,0,MILITARY_AEW,0
Bell1ZViper,2,1,2,165,20,2,0,0,HELICOPTER,0
BellAH1FCobra,2,1,2,165,20,3,0,0,HELICOPTER,0
AllouteIII,2,1,2,165,21,1,0,0,HELICOPTER,0
AgustaAW139,2,1,2,165,21,2,0,0,HELICOPTER,0
MI17,2,1,2,165,25,1,0,0,HELICOPTER,0
K8,1,1,2,165,40,3,0,0,AIRLINER,0
T37,1,1,2,165,40,4,1,0,AIRLINER,0
T37,1,1,2,165,40,4,2,0,AIRLINER,0
SuperMushak,1,1,2,165,40,1,2,0,AIRLINER,0
FalcoUAV,1,1,2,165,50,1,0,0,UAV,0
BuraqUAV,1,1,2,165,50,2,0,0,UAV,0
ShahperUAV,1,1,2,165,50,3,0,0,UAV,0
Tornado_UAV,1,1,2,165,50,4,0,0,UAV,40
UqabUAV,1,1,2,165,50,5,0,0,UAV,0
VectorUAV,1,1,2,165,50,6,0,0,UAV,0
