#DIS Enumerations
#Author,Iqra Khan
#Created DateTime,28/11/2024 3:57:36 pm
#Comments,Added new missiles; Rudram 1, Rudram 2, Rudram 3
#
#[AFISE]Type,Name,Code,HexValue,[EntityType]KindID,KindDesc,DomainID,DomainDesc,CountryID,CountryDesc,CategoryID,CategoryDesc,SubCategoryID,SubCategoryDesc,SpecificID,SpecificDesc,ExtraID,ExtraDesc,[AlternateEntityType]KindID,KindDesc,DomainID,DomainDesc,CountryID,CountryDesc,CategoryID,CategoryDesc,SubCategoryID,SubCategoryDesc,SpecificID,SpecificDesc,ExtraID,ExtraDesc,Description,RCS
#Start
F7P,Chengdu F-7 P,7003,0x1B5B,1,Platform,2,Air,165,Pakistan,1,Fighter/Air Defense,3,F-7 Fishbed,1,F-7 P,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,3
F7PG,Chengdu F-7 PG,7004,0x1B5C,1,Platform,2,Air,165,Pakistan,1,Fighter/Air Defense,3,F-7 Fishbed,2,F-7 PG,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,3
MirageIII,Dassault Mirage-III,7005,0x1B5D,1,Platform,2,Air,165,Pakistan,1,Fighter/Air Defense,4,Mirage-III,1,EA,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,5
MirageIIIRose,Dassault Mirage-III ROSE,7006,0x1B5E,1,Platform,2,Air,165,Pakistan,1,Fighter/Air Defense,4,Mirage-III,4,RP,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,5
MirageV,Dassault Mirage-V,7007,0x1B5F,1,Platform,2,Air,165,Pakistan,1,Fighter/Air Defense,5,Mirage-V,4,DR,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,5
F16,F-16 Fighting Falcon,7008,0x1B60,1,Platform,2,Air,165,Pakistan,1,Fighter/Air Defense,1,F-16 Fighting Falcon,1,Block-15,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,5
F16A,F-16 Fighting Falcon A,7009,0x1B61,1,Platform,2,Air,165,Pakistan,1,Fighter/Air Defense,1,F-16 Fighting Falcon,2,MLU,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,5
F16C,F-16 Fighting Falcon C,7010,0x1B62,1,Platform,2,Air,165,Pakistan,1,Fighter/Air Defense,1,F-16 Fighting Falcon,3,Block-52,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,1.5
JF17_B1,JF-17 Block-I Thunder,7001,0x1B59,1,Platform,2,Air,165,Pakistan,1,Fighter/Air Defense,2,JF-17 Thunder,1,Block-1,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,3
SSS,Saab 2000 AEW&C,8402,0x20D2,1,Platform,2,Air,165,Pakistan,8,Surveillance/C2,1,Saab 2000 AEW&C,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,70
KE03,Karakoram Eagle 03,8401,0x20D1,1,Platform,2,Air,165,Pakistan,8,Surveillance/C2,2,KE-03 AEW&C,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,100
C130,C-130 Hercules,8602,0x219A,1,Platform,2,Air,165,Pakistan,4,Cargo/Tanker,1,C-130,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,80
CASA_CN235,CASA CN 235-220,8603,0x219B,1,Platform,2,Air,165,Pakistan,4,Cargo/Tanker,2,CASA CN235-220,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,75
IL78,Illyushin IL-78,8601,0x2199,1,Platform,2,Air,165,Pakistan,4,Cargo/Tanker,3,Ilyushin IL-78 MP,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,120
Falcon20,Falcon Eagle 20,8403,0x20D3,1,Platform,2,Air,165,Pakistan,6,Electronic Warfare (EW),1,Dassault Falcon 20 E/F,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,70
Bell1ZViper,Bell 1Z Viper,8004,0x1F44,1,Platform,2,Air,165,Pakistan,20,Attack Helicopter,2,Bell AH-1Z Viper,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,2
BellAH1FCobra,Bell AH 1F Cobra,8005,0x1F45,1,Platform,2,Air,165,Pakistan,20,Attack Helicopter,3,Bell AH-1F Cobra,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,2
AllouteIII,Alloute III Helicopter,8001,0x1F41,1,Platform,2,Air,165,Pakistan,21,Utility Helicopter,1,Alloutte-III,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,5
AgustaAW139,Agusta Westland 139,8006,0x1F46,1,Platform,2,Air,165,Pakistan,21,Utility Helicopter,2,Agusta Westland AW-139,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,2
MI17,MI-17 Helicopter,8002,0x1F42,1,Platform,2,Air,165,Pakistan,25,Special Operations Helicopter,1,Mi-171,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,0,Other,NA,5
